Subject,Start Date,All Day Event,Description
Uposatha,06/21/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,06/02/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,07/06/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,07/14/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,07/20/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,07/02/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,08/04/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,08/12/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,08/19/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,08/27/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,09/03/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,09/11/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,09/17/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,09/25/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,10/02/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,10/10/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,10/17/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,10/25/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,11/01/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,11/09/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,11/16/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,11/24/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,11/30/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,12/08/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,12/15/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,12/23/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,12/30/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Magha Puja,02/24/2024,True,"This day, sometimes called ""Sangha Day,"" commemorates the spontaneous assembly of 1,250 arahants in the Buddha's presence. One thousand of the gathered monks had previously achieved Awakening upon hearing the Buddha's delivery of the Fire Sermon; the remaining 250 were followers of the elder monks Ven. Moggallana and Ven. Sariputta. To mark this auspicious gathering, the Buddha delivered the ""Ovada-Patimokkha Gatha"" (see ""A Chanting Guide""), a summary of the main points of the Dhamma, which the Buddha gave to the assembly before sending them out to proclaim the doctrine. [Suggested reading: ""Dhamma for Everyone"" by Ajaan Lee.]"
Visakha Puja,05/22/2024,True,"This day, sometimes called ""Buddha Day,"" commemorates three key events in the Buddha's life that took place on this full-moon day: his birth, Awakening, and final Unbinding (parinibbana). [Suggested reading: ""Visakha Puja"" by Ajaan Lee.]"
Asalha Puja,07/20/2024,True,"This day, sometimes called ""Dhamma Day,"" commemorates the Buddha's first discourse, which he gave to the group of five monks with whom he had practiced in the forest for many years. Upon hearing this discourse, one of the monks ( Ven. Kondañña) gained his first glimpse of Nibbana, thus giving birth to the Noble Sangha. The annual Rains retreat (vassa) begins the following day."
Vassa Begins,07/21/2024,True,"The tradition of ‘Rains Retreat’ was started by the Buddha Himself in the year 588 BCE, where the Lord and 60 bhikkhus – including the elders Kondañña, Bhaddiya, Vappa, Mahānāma and Assaji, as well as Venerable Yasa and his 54 friends – resided in the vicinity of Sarnath near Varanasi. During those 3 months, the venerables learned and practised Dhamma intensively under the direct guidance of the Buddha; at the end of which, all 60 bhikkhus (monks) had attained the highest spiritual fruit of Arahantship."
Vassa Ends,10/17/2024,True,"This day marks the end of the Rains retreat (vassa). In the following month, the kathina ceremony is held, during which the laity gather to make formal offerings of robe cloth and other requisites to the Sangha."
Anapanasati Day,11/16/2024,True,"At the end of one rains retreat (vassa), the Buddha was so pleased with the progress of the assembled monks that he encouraged them to extend their retreat for yet another month. On the full-moon day marking the end of that fourth month of retreat, he presented his instructions on mindfulness of breathing (anapanasati), which may be found in the Anapanasati Sutta (MN 118) — The Discourse on Mindfulness of Breathing."
